sentence,modified,transformation
The frequency of polyploid speciation in vascular plants.,frequencies of polyploid speciations in vascular plant.,SingularsAndPluralsDestroyer
The top of the inside of the mouth separates the nasal cavity from the mouth.,the top of the inside of the mouth separate the nasal cavity from the mouth.,ThirdPersonVerbChanger
"Someone spoke to me in French, but I couldn't understand him.","Someone spoke to me in French, but me couldn't understand him.",IMeDestroyer
Smaller turns than Super G or Downhill are made because distance between gates is short.,Smaller turns than Super or Downhill are made because distance between gates is short.,RandomWordRemoveOperation
Some common examples that use dual-phase engines are steam engines and engines that use Organic Rankine Cycle.,Some common example that use dual-phases engine are steams engine and engine that use Organics Rankines Cycles.,SingularsAndPluralsDestroyer
"Compared to the large and powerful hind limbs, its forelimbs were small, but powerful for their size.","Compared to large and powerful hind limbs, its forelimbs were small, but powerful for their size.",DeterminersDestroyer
He is buying the computer.,He is buying the most comput.,ComparativeSuperlativeDestroyer
Fletcher wanted to make sure the Japanese invasion forces could not sneak through to Port Moresby while he was fighting with the Japanese carriers.,Fletcher wanted to make sure the Japanese invasion forces could not sneak through to Port Moresby while he were fighting with the Japanese carriers.,ReplaceTokensDestroyer
In 2003 Dr Phil started selling weight loss products.,In 2003 Drs Phils started selling weights losses product.,SingularsAndPluralsDestroyer
The only known species is Ichthyovenator laosensis.,The only known species is Ichthyovenator laosensis,RemovePunctuationDestroyer
The Vibra-Slap's inventor was Martin Cohen.,Vibra-Slap's inventor was Martin Cohen.,DeterminersDestroyer
She discovers something terrible and tells the Master Chief to find Captain Keyes.,She discovers somethings terrible and tells the Masters Chiefs to find Captains Keyess.,SingularsAndPluralsDestroyer
"It was a popular time for reggaeton music and Veronica's album included as its first single ""Vengo Con To"".","It were a popular time for reggaeton music and Veronica's album included as its first single ""Vengo Con To"".",ReplaceTokensDestroyer
Does anybody else see a connection?,does anybody else seen a connection?,VerbAgreementDestroyer
The frequency of polyploid speciation in vascular plants.,The frequency of polyploid speciation in vascular plants,RemovePunctuationDestroyer
It is uncertain whether Oswiu (who was Athelwald's uncle) installed him as king or whether Athelwald took the kingship in opposition to Oswiu.,It am not uncertain whether Oswiu (who aren't Athelwalds uncle) installed him as king or whether Athelwald took the kingship in opposition to Oswiu.,PossessivesDestroyer
"At that time, its name was United Nations International Children's Emergency Fund.","At time, its name was United Nations International Children's Emergency Fund.",DeterminersDestroyer
This single received mixed reviews.,single received mixed reviews.,DeterminersDestroyer
As she had married a prnce of the blood she thus outranked her sister who at the time was still unmarried.,As she had married a prnce of the blood she thus outranked her sister who in the time was still unmarried.,InAtOnDestroyer
There was nowhere we could hide.,There were nowhere we could hide.,ReplaceTokensDestroyer
Algeria is more stable than Egypt.,algeria is most stable than egypt.,ComparativeSuperlativeDestroyer
It is nocturnal and its diet consist of insects such as ants.,It be nocturnal and its diet consist of insects such as ants,VerbAgreementDestroyer
She is married to Rodney Begnaud who also competed in World Wrestling Entertainment under the ring name Rodney Mack.,She is married for Rodney Begnaud who also competed in World Wrestling Entertainment under the ring name Rodney Mack.,ToForDestroyer
He is a member of the Cambodian People's Party.,He is a membest of the Cambodian People's Party.,ComparativeSuperlativeDestroyer
The phrase sounds better in French.,phrase sounds better in French.,DeterminersDestroyer
The charge passing through this insulation is called electrical breakdown.,charge passing through insulation is called electrical breakdown.,DeterminersDestroyer
Brearley found that the new chromium steels were very resistant to chemical attack.,Brearley found that the new chromium steels is very resistant to chemical attack,VerbAgreementDestroyer
"This problem is unique to zero as the function still works on every value up to zero, even if we approach from the negative side.",This problem am unique to zero as the function still work on every value up to zero even if we approach from the negative side,RemovePunctuationDestroyer
It was first seen in 1985.,It were first see in 1985.,VerbAgreementDestroyer
Tom sometimes plays tennis with Mary.,Tom sometimes plays tennis with Mary,RemovePunctuationDestroyer
The WP1 Global SuperConcert is planned to be held in twelve countries and broadcast to over 190 countries.,The WP1 Global SuperConcert am planned to be held in twelve countries and broadcast to over 190 countries.,ThirdPersonVerbChanger
Tom speaks a dialect of French.,Tom speak a dialect of French.,ThirdPersonVerbChanger
"Originally using his own name as his Hero name, Tenya is given his brother's own name after he is injured by Stain and forced to retire.","Originally using his own name as his Hero name, Tenya is given his brother's own name after he is injured by Stain and forced to retiring.",ProgressiveDestroyOperation
"That is, what is on the other side of the object can be seen through it.","That is, what is on the other side of the object being seen through it.",ProgressiveDestroyOperation
Tom didn't seem so happy.,Toms didn't seem so happy.,SingularsAndPluralsDestroyer
I'm taking you dancing.,Ibeing taking you dancing.,ProgressiveDestroyOperation
"D. programs in Jewish leasons, the only Chinese school that has ever done that.","D.s program in Jewish leason, the only Chinese schools that haven't ever done that.",VerbAgreementDestroyer
"Sir Charles Wheatstone, an inventor, saw the Turk while it was owned by Malzel.","Sirs Charless Wheatstones, an inventors, saw the Turks while it were owned by Malzel.",ReplaceTokensDestroyer
Sami was about to go.,Sami was about to go,RemovePunctuationDestroyer
Sami is fat and everyone is making fun of him.,Sami am fat and everyone is making fun of him.,ThirdPersonVerbChanger
Playing outside is a lot of fun.,Playing outside am a lot of fun.,ThirdPersonVerbChanger
"What are your favourite books, Tom? ""The Adventures of Tom Sawyer and Uncle Tom's Cabin.""","What being your favourite books, Tom? ""The Adventures of Tom Sawyer and Uncle Tom's Cabin.""",ProgressiveDestroyOperation
"Vanthal Sridevi is the story of a small town girl, Sridevi (Ananya), who escapes her cruel family through an inconvenient marriage to a man named Sidharth (Nandhan Loganadhan) and her struggles thereafter.","Vanthal Sridevi am the story of a small town girl, Sridevi (Ananya), who escape her cruel family through an inconvenient marriage to a man named Sidharth (Nandhan Loganadhan) and her struggle thereafter.",ThirdPersonVerbChanger
J.P. Morgan Chase & Co. is a big company that used to be several smaller companies.,J.P. Morgan Chase & Co. is an big company that used to be several smaller companies.,DeterminersReplacer
The history mentioned that Kirats ruled Nepal during the 7th century BC.,The history mentioned that Kirats rule Nepal during the 7th century BC.,VerbAgreementDestroyer
